artist_count,released_year,released_month,released_day,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
4,2023,6,8,57312735,170,62,55,80,15,0,37,7
1,2022,12,19,397582059,134,81,18,64,3,0,10,11
1,1984,10,19,1479115056,84,57,86,90,2,0,9,5
4,2023,6,2,86773632,146,61,20,48,21,0,12,6
5,2023,5,1,133753727,74,53,24,67,11,0,10,28
1,2023,5,11,123124076,144,75,35,48,84,0,10,12
3,2022,11,24,463564958,136,77,79,73,15,0,27,10
3,2023,5,15,64533040,100,56,53,55,53,0,12,4
1,2023,6,2,65496046,105,89,67,78,9,0,7,33
1,2023,5,26,68616963,106,67,24,78,15,0,30,4
2,2023,3,30,161460990,132,85,53,68,40,0,9,4
2,2023,6,2,70106975,120,78,5,30,21,0,13,5
2,2023,3,17,113509496,155,82,51,39,2,0,9,49
2,2023,5,13,89933133,129,70,42,43,78,0,11,3
2,2022,9,29,71007139,135,80,85,74,62,0,8,9
2,2023,6,2,43522589,98,73,45,62,28,0,13,13
1,2023,3,31,232896922,124,84,64,39,3,0,11,4
3,2023,6,2,37126685,135,77,28,55,18,0,22,15
1,2023,3,23,195576623,107,78,39,53,30,0,11,6
2,2022,10,12,532336353,96,54,25,74,14,0,9,11
2,2022,11,30,538115192,123,71,58,70,30,0,32,19
2,2023,5,26,46142772,90,62,7,62,6,0,58,6
3,2022,12,2,401036314,117,72,45,59,14,0,20,21
2,2023,4,4,127026613,133,78,90,84,31,0,7,4
1,2022,12,2,345031710,96,74,61,83,11,0,35,6
2,2022,12,1,288101651,149,66,85,60,40,0,14,13
2,2023,5,26,60350538,110,66,32,40,81,0,11,3
1,2022,11,30,335074782,105,95,62,52,3,0,5,16
1,2023,5,22,76767396,105,80,69,78,28,0,11,14
2,2023,5,26,46065667,134,76,61,58,6,0,16,3
1,2022,7,8,459276435,170,71,59,56,4,0,27,12
2,2023,6,2,39666245,81,59,26,60,46,1,25,13
2,2023,3,1,138517666,154,63,75,92,31,0,91,5
1,2022,6,29,822633917,169,69,69,51,63,0,38,4
1,2022,7,29,595900742,115,78,64,69,4,0,7,14
2,2023,6,5,51985779,84,43,14,74,1,0,19,8
2,2023,5,18,57945987,93,79,58,62,11,0,11,23
2,2023,4,21,115010040,91,82,47,62,10,0,10,15
1,2023,4,7,175097833,142,82,54,44,6,0,33,7
2,2023,5,19,57089066,126,78,20,70,1,0,16,4
1,2022,10,21,488386797,97,73,10,44,26,0,16,8
5,2023,6,2,32761689,101,92,59,51,41,51,26,8
1,2022,5,6,1047480053,98,80,23,48,14,0,6,5
1,2023,1,27,153454328,154,59,63,89,18,0,80,9
1,2023,2,14,217672943,120,91,63,58,52,0,31,22
1,2022,10,17,457184829,150,49,4,55,7,0,6,3
1,2021,9,1,726434358,202,34,25,51,69,0,18,4
2,2022,11,4,573633020,153,56,42,52,5,0,36,24
1,2021,10,14,1406111294,142,60,13,37,58,0,13,3
2,2023,5,11,71573339,108,84,55,47,26,0,20,64
2,2023,6,2,24975653,143,83,25,69,4,0,23,12
1,2023,2,14,145458418,108,67,55,67,60,0,80,5
1,2000,1,1,1424589568,104,95,78,66,3,0,4,6
3,2022,12,16,231332117,93,84,96,79,43,0,18,11
1,2021,12,10,415932686,105,65,46,53,16,0,9,5
1,2022,6,10,988515741,170,44,27,32,89,0,14,5
3,2023,5,4,50847624,178,62,56,66,18,0,12,5
1,2023,5,5,39893489,176,50,44,76,10,0,32,5
2,2023,5,1,92035115,104,80,38,88,11,0,11,5
1,2023,4,21,118810253,85,70,83,84,31,0,47,30
2,2023,4,30,77233241,117,77,69,58,39,0,26,5
1,2023,2,24,206399629,80,52,57,48,86,0,15,39
1,2023,4,7,117747907,98,44,36,41,50,0,38,5
2,2023,2,2,266624541,178,79,58,78,34,0,11,25
1,2022,4,8,293186992,148,51,27,33,48,0,22,3
1,2023,2,24,139681964,120,77,94,66,65,0,38,3
1,2023,4,10,123132751,122,68,38,88,1,0,8,5
1,1997,1,1,103762518,144,74,75,73,42,0,9,4
2,2023,3,4,162887075,96,93,47,47,33,0,10,36
1,2023,4,24,91221625,137,77,35,88,16,0,17,9
1,2022,4,22,190490915,121,94,71,61,12,0,53,42
2,2023,4,21,96180277,119,60,10,57,1,0,50,3
1,2019,8,23,185240616,96,72,40,47,71,0,13,4
1,2022,4,21,885093467,111,87,53,52,66,1,11,5
2,2023,4,14,104992946,148,90,74,68,14,0,10,19
2,2023,2,3,147290338,182,57,80,59,8,0,6,5
2,2022,12,30,158950978,145,76,80,81,19,0,6,9
2,2023,4,25,76910644,110,76,26,70,1,0,41,6
1,2022,8,16,137123880,134,70,35,41,41,0,10,3
1,2022,7,28,782369383,130,92,78,62,18,0,6,10
1,2022,10,21,502574952,145,84,88,53,35,0,8,7
3,2023,2,5,207033255,130,69,36,90,1,10,15,4
1,2022,4,28,404887295,173,59,69,53,12,0,23,3
1,2022,11,4,381161027,92,75,55,76,25,0,10,15
1,2014,6,5,466231982,105,56,57,87,0,1,10,4
1,2021,11,25,357580552,175,59,15,64,43,90,12,10
2,2023,4,27,61105704,120,80,33,70,22,0,9,4
2,2022,12,24,198275403,139,70,77,48,37,0,12,5
1,2023,3,17,168448603,132,59,56,82,12,0,12,6
2,2018,3,29,705469769,114,32,17,74,14,0,17,3
2,2023,5,4,34502215,145,54,19,48,36,0,37,5
1,2022,9,16,482175240,110,82,67,69,0,0,18,4
2,2022,12,22,304118600,94,89,61,66,17,0,36,16
1,2018,3,29,1449799467,134,45,17,60,21,0,33,4
1,2023,3,24,173627354,120,62,32,76,0,0,39,4
2,2023,2,2,90025258,123,70,86,68,24,0,11,4
2,2021,12,3,652704649,131,77,84,71,35,0,15,4
1,2002,1,1,1829992958,171,70,6,73,1,0,36,26
2,2002,5,26,655466831,130,80,64,76,2,0,20,6
3,2023,3,2,146409671,94,82,53,67,34,0,9,8
2,2023,4,7,95816024,89,73,44,57,39,0,32,6
1,2023,3,17,117206995,87,65,71,56,4,0,15,20
2,2023,3,22,100409613,124,72,79,78,55,0,15,30
2,2023,3,27,80758350,78,71,80,65,51,0,22,32
2,2022,11,1,325592432,120,70,70,79,7,0,18,10
2,2023,3,31,58473276,96,48,50,80,40,0,37,20
1,2023,3,25,52722996,106,73,22,86,31,0,12,4
1,2021,12,24,191945597,170,78,75,46,62,0,12,35
2,2023,3,24,77377503,134,67,11,76,8,47,30,7
1,2022,5,20,743693613,115,71,90,73,30,0,11,5
1,2022,12,9,267789608,130,74,79,87,45,0,30,3
2,2020,3,20,1221813483,118,65,63,79,3,0,10,3
1,2022,4,22,449701773,110,59,22,38,42,0,12,3
1,2023,3,29,67070410,100,72,42,66,18,4,19,4
2,2023,3,14,116334601,142,70,76,79,26,0,11,7
1,2022,10,21,433356509,140,64,18,37,72,0,12,7
1,2023,2,10,165584767,116,90,96,73,62,0,9,4
1,2022,5,13,367814306,120,73,64,85,25,0,61,3
2,2022,4,1,477033549,92,76,46,79,31,0,7,6
1,2022,10,26,156214700,110,81,64,79,5,0,31,3
1,2022,1,21,448843705,120,71,57,97,1,0,13,11
2,2022,11,13,294352144,115,95,43,69,47,0,9,31
1,2014,11,28,972164968,76,58,46,67,65,0,13,4
1,2017,2,20,920045682,172,60,77,78,45,0,12,6
1,2016,9,9,2420461338,99,40,45,56,69,0,9,5
1,2015,5,27,1947371785,136,36,12,57,9,0,14,8
1,2019,5,10,244658767,150,90,64,14,67,35,11,10
1,2023,4,7,68216992,92,71,41,31,79,0,10,5
5,2022,12,15,223582566,95,77,72,87,17,0,7,5
3,2022,7,25,471819764,102,83,58,83,21,0,10,5
1,2022,12,9,272377463,145,70,34,55,43,0,16,6
1,2003,3,24,1361425037,110,50,24,86,0,0,64,4
2,2023,2,24,149778242,95,64,30,77,46,0,38,6
2,2023,3,3,116599790,94,68,81,82,53,0,9,13
1,2022,12,2,148469433,142,61,92,91,0,0,26,3
2,2022,8,5,497225336,145,59,20,74,1,0,15,5
1,2023,3,3,88791109,121,64,67,80,0,0,36,3
1,2023,3,3,125917280,140,66,43,76,49,0,12,3
3,2023,2,23,105062254,137,84,44,67,8,0,11,6
1,2023,1,31,95623148,104,56,72,85,0,0,15,3
1,2023,2,17,144584800,92,57,68,76,7,0,33,3
1,2022,12,15,298063749,146,74,51,45,86,0,21,38
1,2023,1,23,166570053,120,56,20,43,89,0,12,4
1,2023,1,31,83021468,144,68,83,81,9,0,8,4
2,2022,11,5,139836056,94,59,44,56,80,0,6,3
1,2022,10,31,303216294,94,73,65,79,5,2,11,6
2,2022,12,15,221409663,113,79,66,74,8,0,11,5
2,2023,3,3,58890931,148,50,49,76,12,0,12,3
1,2023,3,3,81419389,98,70,29,73,12,0,11,26
1,2022,5,31,156777415,140,58,26,38,91,0,10,4
1,2022,12,9,284908316,100,36,28,28,81,0,18,3
2,2023,2,23,93438910,140,86,68,79,39,0,11,29
1,2022,8,1,363472647,100,59,78,94,27,0,29,23
1,2011,1,1,372476382,100,59,49,65,2,0,13,3
2,2022,10,19,380726517,132,87,82,70,42,0,21,5
1,2023,3,3,56533272,142,49,48,67,10,0,26,3
1,2023,1,20,175399345,176,72,96,63,25,0,21,7
1,2022,5,6,203221468,140,53,51,70,49,0,14,3
1,2000,10,24,1624165576,105,55,40,90,1,0,32,6
1,2022,12,8,134294498,135,81,97,77,75,0,35,3
1,2022,7,28,70069745,128,82,61,59,30,0,12,4
2,2022,6,3,609293408,101,74,43,69,12,0,12,7
1,2022,5,6,671365962,122,88,43,50,7,0,14,5
